molecule_chembl_id,pref_name,molecule_type,structure_type,max_phase,first_approval,mechanism_of_action,action_type,target_chembl_id,target_name
CHEMBL12,DIAZEPAM,Small molecule,MOL,4.0,1963.0,GABA-A receptor; anion channel positive allosteric modulator,POSITIVE ALLOSTERIC MODULATOR,CHEMBL2093872,
CHEMBL13,METOPROLOL,Small molecule,MOL,4.0,1978.0,,,,
CHEMBL411,DIETHYLSTILBESTROL,Small molecule,MOL,4.0,1973.0,Estrogen receptor alpha agonist,AGONIST,CHEMBL206,
CHEMBL267936,MECAMYLAMINE,Small molecule,MOL,4.0,1956.0,,,,
CHEMBL14,CARBACHOL,Small molecule,MOL,4.0,1972.0,Muscarinic acetylcholine receptor M3 agonist,AGONIST,CHEMBL245,
CHEMBL16,PHENYTOIN,Small molecule,MOL,4.0,1953.0,Sodium channel alpha subunit blocker,BLOCKER,CHEMBL2331043,
CHEMBL413,SIROLIMUS,Small molecule,MOL,4.0,1999.0,FK506-binding protein 1A inhibitor,INHIBITOR,CHEMBL1902,
CHEMBL269732,TACROLIMUS ANHYDROUS,Small molecule,MOL,4.0,1994.0,,,,
CHEMBL415,CLOMIPRAMINE,Small molecule,MOL,4.0,1989.0,,,,
CHEMBL416,METHOXSALEN,Small molecule,MOL,4.0,1954.0,DNA inhibitor,INHIBITOR,CHEMBL2311221,
CHEMBL17,DICHLORPHENAMIDE,Small molecule,MOL,4.0,1958.0,Carbonic anhydrase I inhibitor,INHIBITOR,CHEMBL261,
CHEMBL17,DICHLORPHENAMIDE,Small molecule,MOL,4.0,1958.0,Carbonic anhydrase II inhibitor,INHIBITOR,CHEMBL205,
CHEMBL17,DICHLORPHENAMIDE,Small molecule,MOL,4.0,1958.0,Carbonic anhydrase XII inhibitor,INHIBITOR,CHEMBL3242,
CHEMBL17,DICHLORPHENAMIDE,Small molecule,MOL,4.0,1958.0,Carbonic anhydrase IV inhibitor,INHIBITOR,CHEMBL3729,
CHEMBL18,ETHOXZOLAMIDE,Small molecule,MOL,4.0,1982.0,Carbonic anhydrase inhibitor,INHIBITOR,CHEMBL2095180,
CHEMBL417,EPIRUBICIN,Small molecule,MOL,4.0,1999.0,,,,
CHEMBL19,METHAZOLAMIDE,Small molecule,MOL,4.0,1959.0,Carbonic anhydrase VII inhibitor,INHIBITOR,CHEMBL2326,
CHEMBL19,METHAZOLAMIDE,Small molecule,MOL,4.0,1959.0,Carbonic anhydrase I inhibitor,INHIBITOR,CHEMBL261,
CHEMBL19,METHAZOLAMIDE,Small molecule,MOL,4.0,1959.0,Carbonic anhydrase II inhibitor,INHIBITOR,CHEMBL205,
CHEMBL19,METHAZOLAMIDE,Small molecule,MOL,4.0,1959.0,Carbonic anhydrase IV inhibitor,INHIBITOR,CHEMBL3729,
CHEMBL20,ACETAZOLAMIDE,Small molecule,MOL,4.0,1953.0,Carbonic anhydrase I inhibitor,INHIBITOR,CHEMBL261,
CHEMBL20,ACETAZOLAMIDE,Small molecule,MOL,4.0,1953.0,Carbonic anhydrase II inhibitor,INHIBITOR,CHEMBL205,
CHEMBL20,ACETAZOLAMIDE,Small molecule,MOL,4.0,1953.0,Carbonic anhydrase XII inhibitor,INHIBITOR,CHEMBL3242,
CHEMBL20,ACETAZOLAMIDE,Small molecule,MOL,4.0,1953.0,Carbonic anhydrase IV inhibitor,INHIBITOR,CHEMBL3729,
CHEMBL419,MAFENIDE,Small molecule,MOL,4.0,1969.0,,,,
CHEMBL21,SULFANILAMIDE,Small molecule,MOL,4.0,1985.0,Bacterial dihydropteroate synthase inhibitor,INHIBITOR,CHEMBL2364668,
CHEMBL420,GUANABENZ,Small molecule,MOL,4.0,1982.0,,,,
CHEMBL22,TRIMETHOPRIM,Small molecule,MOL,4.0,1973.0,Bacterial dihydrofolate reductase inhibitor,INHIBITOR,CHEMBL2364669,
CHEMBL6966,VERAPAMIL,Small molecule,MOL,4.0,1981.0,,,,
CHEMBL421,SULFASALAZINE,Small molecule,MOL,4.0,1950.0,Arachidonate 5-lipoxygenase inhibitor,INHIBITOR,CHEMBL215,
CHEMBL421,SULFASALAZINE,Small molecule,MOL,4.0,1950.0,Cyclooxygenase inhibitor,INHIBITOR,CHEMBL2094253,
CHEMBL6466,COUMARIN,Small molecule,MOL,4.0,,Unknown,,,
CHEMBL23,DILTIAZEM,Small molecule,MOL,4.0,1982.0,,,,
CHEMBL24,ATENOLOL,Small molecule,MOL,4.0,1981.0,Beta-1 adrenergic receptor antagonist,ANTAGONIST,CHEMBL213,
CHEMBL25,ASPIRIN,Small molecule,MOL,4.0,1950.0,Cyclooxygenase inhibitor,INHIBITOR,CHEMBL2094253,
CHEMBL422,TRIFLUOPERAZINE,Small molecule,MOL,4.0,1959.0,,,,
CHEMBL26,SULPIRIDE,Small molecule,MOL,4.0,,Dopamine D2 receptor antagonist,ANTAGONIST,CHEMBL217,
CHEMBL423,BETAXOLOL,Small molecule,MOL,4.0,1985.0,,,,
CHEMBL424,SALICYLIC ACID,Small molecule,MOL,4.0,,,,,
CHEMBL425,OLSALAZINE,Small molecule,MOL,4.0,1990.0,,,,
CHEMBL27,PROPRANOLOL,Small molecule,MOL,4.0,1967.0,,,,
CHEMBL6995,PRACTOLOL,Small molecule,MOL,4.0,,Beta-1 adrenergic receptor inhibitor,INHIBITOR,CHEMBL213,
CHEMBL427,MECHLORETHAMINE,Small molecule,MOL,4.0,1949.0,DNA inhibitor,INHIBITOR,CHEMBL2311221,
